pincombination,date,Split,Frequency,Zreal,Zimag,Zmod,Zphase,rh,Replicate,run,Path,TCN
9-12,021119,B,998.264,3609822,-115422700,115479100,-88.20867,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,796.875,3590724,-143689200,143734100,-88.5685,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,627.7902,5022001,-182798200,182867200,-88.42632,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,505.5147,6534329,-225471200,225565900,-88.33999,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,397.9953,6774689,-285669600,285750000,-88.64148,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,315.5048,7389386,-360321000,360396800,-88.82516,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,252.4038,11563410,-447375400,447524800,-88.51939,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,198.6229,19312680,-563478800,563809700,-88.03701,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,158.3615,20942700,-717967600,718273000,-88.32919,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,125.558,29568970,-891663800,892153900,-88.10068,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,100.4464,23870990,-1123795000,1124048000,-88.78314,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,79.00281,23897930,-1385432000,1385638000,-89.01178,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,63.3446,152209400,-1618049000,1625192000,-84.62601,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,49.86702,99052360,-2244994000,2247178000,-87.47366,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,39.72458,107136900,-2787650000,2789708000,-87.79905,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,31.6723,259585600,-3324116000,3334237000,-85.53474,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,24.93351,320081700,-4416424000,4428008000,-85.85472,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,19.86229,728166300,-5481413000,5529567000,-82.43298,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,15.83615,1264961000,-7417316000,7524407000,-80.3218,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,12.40079,329200000,-8014785000,8021542000,-87.64795,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,9.93114,788112400,-10952350000,10980660000,-85.88419,0,B4,4,bg_no_rh/021119_B4_9_12_#4.txt,3500
9-12,021119,B,199546.9,2118.724,-600832.3,600836.1,-89.79796,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,100078.1,8061.455,-1189640,1189668,-89.61175,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,79453.13,16179.68,-1494926,1495014,-89.37991,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,63140.62,11699.85,-1874781,1874818,-89.64244,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,50203.12,24651.02,-2359776,2359905,-89.40149,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,39890.62,18342.38,-2966523,2966580,-89.64574,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,31640.63,35674.44,-3722727,3722898,-89.45096,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,25171.88,8771.32,-4686717,4686725,-89.89277,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,20015.62,24136.55,-5941747,5941796,-89.76726,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,15890.62,161574.4,-7321447,7323229,-88.73576,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,12609.37,148880.4,-9300550,9301742,-89.0829,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,10078.13,168645.7,-11641410,11642630,-89.17003,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,8015.625,178706.6,-14659620,14660710,-89.30157,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,6328.125,329586.5,-18507740,18510670,-88.97978,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,5015.625,450772.7,-23340520,23344870,-88.89359,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,3984.375,546632,-29214640,29219760,-88.92807,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,3170.956,1017037,-36706490,36720580,-88.4129,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,2527.573,836285.1,-46180000,46187580,-88.96253,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,1976.103,1322126,-59006240,59021060,-88.71642,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,1577.524,1677482,-73047700,73066960,-88.68448,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,1265.625,2622255,-90896680,90934500,-88.34755,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,998.264,2398557,-115336900,115361900,-88.80865,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,796.875,699675.3,-145115000,145116700,-89.72375,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,627.7902,4537277,-182912600,182968800,-88.57903,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,397.9953,5283581,-285977800,286026600,-88.94155,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,315.5048,9801502,-362049900,362182600,-88.44926,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,252.4038,12931030,-447071100,447258000,-88.34325,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,198.6229,15688850,-576814700,577028000,-88.44199,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,158.3615,20299330,-706647200,706938700,-88.35456,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,125.558,32415100,-903364400,903945800,-87.94496,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,100.4464,62565650,-1107270000,1109036000,-86.76598,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,79.00281,40197120,-1443894000,1444453000,-88.40533,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,49.86702,158933900,-2198501000,2204238000,-85.86517,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,39.72458,178553400,-2834254000,2839872000,-86.39523,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,31.6723,116481800,-3522241000,3524167000,-88.1059,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,24.93351,251263200,-4339878000,4347146000,-86.68648,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
9-12,021119,B,19.86229,153060500,-5539952000,5542066000,-88.4174,0,B4,5,bg_no_rh/021119_B4_9_12_#5.txt,3500
